Region,Division,State,year,num_crimes
West,Mountain,New Mexico,1987,9427
Northeast,Middle Atlantic,New York,1987,179691
South,South Atlantic,North Carolina,1987,31039
Midwest,West North Central,North Dakota,1987,382
Midwest,East North Central,Ohio,1987,45436
South,West South Central,Oklahoma,1987,13664
West,Pacific,Oregon,1987,14697
Northeast,Middle Atlantic,Pennsylvania,1987,44087
Northeast,New England,Rhode Island,1987,3547
South,South Atlantic,South Carolina,1987,22773
Midwest,West North Central,South Dakota,1987,849
South,East South Central,Tennessee,1987,25900
South,West South Central,Texas,1987,105961
West,Mountain,Utah,1987,3861
Northeast,New England,Vermont,1987,748
South,South Atlantic,Virginia,1987,17414
West,Pacific,Washington,1987,19945
South,South Atlantic,West Virginia,1987,2605
Midwest,East North Central,Wisconsin,1987,12014
West,Mountain,Wyoming,1987,1387
South,East South Central,Alabama,1988,23052
West,Pacific,Alaska,1988,2682
West,Mountain,Arizona,1988,21147
South,West South Central,Arkansas,1988,10237
West,Pacific,California,1988,261912
West,Mountain,Colorado,1988,15548
Northeast,New England,Connecticut,1988,14759
South,South Atlantic,Delaware,1988,2981
South,South Atlantic,District of Columbia,1988,11914
South,South Atlantic,Florida,1988,138343
South,South Atlantic,Georgia,1988,42589
West,Pacific,Hawaii,1988,2810
West,Mountain,Idaho,1988,2345
Midwest,East North Central,Illinois,1988,93557
Midwest,East North Central,Indiana,1988,21187
Midwest,West North Central,Iowa,1988,7279
Midwest,West North Central,Kansas,1988,9083
South,East South Central,Kentucky,1988,12284
South,West South Central,Louisiana,1988,31711
Northeast,New England,Maine,1988,1898
South,South Atlantic,Maryland,1988,37466
Northeast,New England,Massachusetts,1988,36376
Midwest,East North Central,Michigan,1988,68980
Midwest,West North Central,Minnesota,1988,12490
South,East South Central,Mississippi,1988,8544
Midwest,West North Central,Missouri,1988,28393
West,Mountain,Montana,1988,989
Midwest,West North Central,Nebraska,1988,4374
West,Mountain,Nevada,1988,8275
Northeast,New England,New Hampshire,1988,1622
Northeast,Middle Atlantic,New Jersey,1988,44993
West,Mountain,New Mexico,1988,9938
Northeast,Middle Atlantic,New York,1988,196396
South,South Atlantic,North Carolina,1988,32753
Midwest,West North Central,North Dakota,1988,392
Midwest,East North Central,Ohio,1988,49144
South,West South Central,Oklahoma,1988,14179
West,Pacific,Oregon,1988,14959
Northeast,Middle Atlantic,Pennsylvania,1988,43534
Northeast,New England,Rhode Island,1988,3947
South,South Atlantic,South Carolina,1988,25889
Midwest,West North Central,South Dakota,1988,813
South,East South Central,Tennessee,1988,26205
South,West South Central,Texas,1988,109499
West,Mountain,Utah,1988,4110
Northeast,New England,Vermont,1988,791
South,South Atlantic,Virginia,1988,17940
West,Pacific,Washington,1988,21543
South,South Atlantic,West Virginia,1988,2476
Midwest,East North Central,Wisconsin,1988,10414
West,Mountain,Wyoming,1988,1479
South,East South Central,Alabama,1989,24329
West,Pacific,Alaska,1989,2623
West,Mountain,Arizona,1989,21320
South,West South Central,Arkansas,1989,11397
West,Pacific,California,1989,284136
West,Mountain,Colorado,1989,15636
Northeast,New England,Connecticut,1989,16576
South,South Atlantic,Delaware,1989,3745
South,South Atlantic,District of Columbia,1989,12937
South,South Atlantic,Florida,1989,140575
South,South Atlantic,Georgia,1989,47357
West,Pacific,Hawaii,1989,3004
West,Mountain,Idaho,1989,2582
Midwest,East North Central,Illinois,1989,98611
Midwest,East North Central,Indiana,1989,22735
Midwest,West North Central,Iowa,1989,7563
Midwest,West North Central,Kansas,1989,10073
South,East South Central,Kentucky,1989,13302
South,West South Central,Louisiana,1989,34257
Northeast,New England,Maine,1989,1676
South,South Atlantic,Maryland,1989,40152
Northeast,New England,Massachusetts,1989,39912
Midwest,East North Central,Michigan,1989,65760
Midwest,West North Central,Minnesota,1989,12549
South,East South Central,Mississippi,1989,8156
Midwest,West North Central,Missouri,1989,32634
West,Mountain,Montana,1989,935
Midwest,West North Central,Nebraska,1989,4503
West,Mountain,Nevada,1989,6947
Northeast,New England,New Hampshire,1989,1865
Northeast,Middle Atlantic,New Jersey,1989,47111
West,Mountain,New Mexico,1989,10755
Northeast,Middle Atlantic,New York,1989,203042
South,South Atlantic,North Carolina,1989,35902
Midwest,West North Central,North Dakota,1989,417
Midwest,East North Central,Ohio,1989,51109
South,West South Central,Oklahoma,1989,15847
West,Pacific,Oregon,1989,14625
Northeast,Middle Atlantic,Pennsylvania,1989,45586
Northeast,New England,Rhode Island,1989,3772
South,South Atlantic,South Carolina,1989,28576
Midwest,West North Central,South Dakota,1989,969
South,East South Central,Tennessee,1989,27118
South,West South Central,Texas,1989,111889
West,Mountain,Utah,1989,4417
Northeast,New England,Vermont,1989,753
South,South Atlantic,Virginia,1989,19057
West,Pacific,Washington,1989,22460
South,South Atlantic,West Virginia,1989,2724
Midwest,East North Central,Wisconsin,1989,10834
West,Mountain,Wyoming,1989,1227
South,East South Central,Alabama,1990,28630
West,Pacific,Alaska,1990,2885
West,Mountain,Arizona,1990,23911
South,West South Central,Arkansas,1990,12511
West,Pacific,California,1990,311051
West,Mountain,Colorado,1990,17328
Northeast,New England,Connecticut,1990,18201
South,South Atlantic,Delaware,1990,4365
South,South Atlantic,District of Columbia,1990,14919
South,South Atlantic,Florida,1990,160990
South,South Atlantic,Georgia,1990,48996
West,Pacific,Hawaii,1990,3113
West,Mountain,Idaho,1990,2776
Midwest,East North Central,Illinois,1990,110575
Midwest,East North Central,Indiana,1990,26275
Midwest,West North Central,Iowa,1990,8321
Midwest,West North Central,Kansas,1990,11093
South,East South Central,Kentucky,1990,14386
South,West South Central,Louisiana,1990,37914
Northeast,New England,Maine,1990,1759
South,South Atlantic,Maryland,1990,43940
Northeast,New England,Massachusetts,1990,44300
Midwest,East North Central,Michigan,1990,73468
Midwest,West North Central,Minnesota,1990,13392
South,East South Central,Mississippi,1990,8758
Midwest,West North Central,Missouri,1990,36602
West,Mountain,Montana,1990,1273
Midwest,West North Central,Nebraska,1990,5209
West,Mountain,Nevada,1990,7222
Northeast,New England,New Hampshire,1990,1459
Northeast,Middle Atlantic,New Jersey,1990,50057
West,Mountain,New Mexico,1990,11821
Northeast,Middle Atlantic,New York,1990,212458
South,South Atlantic,North Carolina,1990,41332
Midwest,West North Central,North Dakota,1990,472
Midwest,East North Central,Ohio,1990,54904
South,West South Central,Oklahoma,1990,17222
West,Pacific,Oregon,1990,14405
Northeast,Middle Atlantic,Pennsylvania,1990,51213
Northeast,New England,Rhode Island,1990,4334
South,South Atlantic,South Carolina,1990,34050
Midwest,West North Central,South Dakota,1990,1133
South,East South Central,Tennessee,1990,32698
South,West South Central,Texas,1990,129343
West,Mountain,Utah,1990,4892
Northeast,New England,Vermont,1990,716
South,South Atlantic,Virginia,1990,21694
West,Pacific,Washington,1990,24410
South,South Atlantic,West Virginia,1990,3036
Midwest,East North Central,Wisconsin,1990,12948
West,Mountain,Wyoming,1990,1367
South,East South Central,Alabama,1991,34518
West,Pacific,Alaska,1991,3499
West,Mountain,Arizona,1991,25152
South,West South Central,Arkansas,1991,14072
West,Pacific,California,1991,331122
West,Mountain,Colorado,1991,18887
Northeast,New England,Connecticut,1991,17761
South,South Atlantic,Delaware,1991,4857
South,South Atlantic,District of Columbia,1991,14671
South,South Atlantic,Florida,1991,157243
South,South Atlantic,Georgia,1991,48894
West,Pacific,Hawaii,1991,2744
West,Mountain,Idaho,1991,3016
Midwest,East North Central,Illinois,1991,119955
Midwest,East North Central,Indiana,1991,28349
Midwest,West North Central,Iowa,1991,8477
Midwest,West North Central,Kansas,1991,12465
South,East South Central,Kentucky,1991,16262
South,West South Central,Louisiana,1991,40438
Northeast,New England,Maine,1991,1631
South,South Atlantic,Maryland,1991,46469
Northeast,New England,Massachusetts,1991,44138
Midwest,East North Central,Michigan,1991,75232
Midwest,West North Central,Minnesota,1991,14006
South,East South Central,Mississippi,1991,10085
Midwest,West North Central,Missouri,1991,39358
West,Mountain,Montana,1991,1130
Midwest,West North Central,Nebraska,1991,5330
West,Mountain,Nevada,1991,8693
Northeast,New England,New Hampshire,1991,1318
Northeast,Middle Atlantic,New Jersey,1991,49257
West,Mountain,New Mexico,1991,12922
Northeast,Middle Atlantic,New York,1991,210184
South,South Atlantic,North Carolina,1991,44355
Midwest,West North Central,North Dakota,1991,415
Midwest,East North Central,Ohio,1991,61460
South,West South Central,Oklahoma,1991,18533
West,Pacific,Oregon,1991,14795
Northeast,Middle Atlantic,Pennsylvania,1991,53824
Northeast,New England,Rhode Island,1991,4638
South,South Atlantic,South Carolina,1991,34621
Midwest,West North Central,South Dakota,1991,1281
South,East South Central,Tennessee,1991,35955
South,West South Central,Texas,1991,145743
West,Mountain,Utah,1991,5077
Northeast,New England,Vermont,1991,662
South,South Atlantic,Virginia,1991,23459
West,Pacific,Washington,1991,26224
South,South Atlantic,West Virginia,1991,3440
Midwest,East North Central,Wisconsin,1991,13723
West,Mountain,Wyoming,1991,1427
South,East South Central,Alabama,1992,36052
West,Pacific,Alaska,1992,3877
West,Mountain,Arizona,1992,25706
South,West South Central,Arkansas,1992,13831
West,Pacific,California,1992,345624
West,Mountain,Colorado,1992,20086
Northeast,New England,Connecticut,1992,16252
South,South Atlantic,Delaware,1992,4280
South,South Atlantic,District of Columbia,1992,16685
South,South Atlantic,Florida,1992,162827
South,South Atlantic,Georgia,1992,49496
West,Pacific,Hawaii,1992,2998
West,Mountain,Idaho,1992,3003
Midwest,East North Central,Illinois,1992,113664
Midwest,East North Central,Indiana,1992,28791
Midwest,West North Central,Iowa,1992,7816
Midwest,West North Central,Kansas,1992,12888
South,East South Central,Kentucky,1992,20107
South,West South Central,Louisiana,1992,42209
Northeast,New England,Maine,1992,1616
South,South Atlantic,Maryland,1992,49085
Northeast,New England,Massachusetts,1992,46727
Midwest,East North Central,Michigan,1992,72672
Midwest,West North Central,Minnesota,1992,15144
South,East South Central,Mississippi,1992,10763
Midwest,West North Central,Missouri,1992,38448
West,Mountain,Montana,1992,1400
Midwest,West North Central,Nebraska,1992,5598
West,Mountain,Nevada,1992,9247
Northeast,New England,New Hampshire,1992,1397
Northeast,Middle Atlantic,New Jersey,1992,48745
West,Mountain,New Mexico,1992,14781
Northeast,Middle Atlantic,New York,1992,203311
South,South Atlantic,North Carolina,1992,46600
Midwest,West North Central,North Dakota,1992,530
Midwest,East North Central,Ohio,1992,57935
South,West South Central,Oklahoma,1992,20005
West,Pacific,Oregon,1992,15189
Northeast,Middle Atlantic,Pennsylvania,1992,51276
Northeast,New England,Rhode Island,1992,3965
South,South Atlantic,South Carolina,1992,34029
Midwest,West North Central,South Dakota,1992,1383
South,East South Central,Tennessee,1992,37487
South,West South Central,Texas,1992,142369
West,Mountain,Utah,1992,5267
Northeast,New England,Vermont,1992,624
South,South Atlantic,Virginia,1992,23907
West,Pacific,Washington,1992,27454
South,South Atlantic,West Virginia,1992,3833
Midwest,East North Central,Wisconsin,1992,13806
West,Mountain,Wyoming,1992,1489
South,East South Central,Alabama,1993,32676
West,Pacific,Alaska,1993,4557
West,Mountain,Arizona,1993,28142
South,West South Central,Arkansas,1993,14381
West,Pacific,California,1993,336381
West,Mountain,Colorado,1993,20229
Northeast,New England,Connecticut,1993,14949
South,South Atlantic,Delaware,1993,4801
South,South Atlantic,District of Columbia,1993,16888
South,South Atlantic,Florida,1993,164975
South,South Atlantic,Georgia,1993,50019
West,Pacific,Hawaii,1993,3061
West,Mountain,Idaho,1993,3097
Midwest,East North Central,Illinois,1993,112260
Midwest,East North Central,Indiana,1993,27941
Midwest,West North Central,Iowa,1993,9159
Midwest,West North Central,Kansas,1993,12564
South,East South Central,Kentucky,1993,17530
South,West South Central,Louisiana,1993,45600
Northeast,New England,Maine,1993,1558
South,South Atlantic,Maryland,1993,49540
Northeast,New England,Massachusetts,1993,48393
Midwest,East North Central,Michigan,1993,75021
Midwest,West North Central,Minnesota,1993,15986
South,East South Central,Mississippi,1993,11467
Midwest,West North Central,Missouri,1993,38963
West,Mountain,Montana,1993,1489
Midwest,West North Central,Nebraska,1993,6071
West,Mountain,Nevada,1993,12157
Northeast,New England,New Hampshire,1993,1550
Northeast,Middle Atlantic,New Jersey,1993,49390
West,Mountain,New Mexico,1993,15024
Northeast,Middle Atlantic,New York,1993,195352
South,South Atlantic,North Carolina,1993,47178
Midwest,West North Central,North Dakota,1993,522
Midwest,East North Central,Ohio,1993,55915
South,West South Central,Oklahoma,1993,20512
West,Pacific,Oregon,1993,15254
Northeast,Middle Atlantic,Pennsylvania,1993,50295
Northeast,New England,Rhode Island,1993,4017
South,South Atlantic,South Carolina,1993,37281
Midwest,West North Central,South Dakota,1993,1490
South,East South Central,Tennessee,1993,39047
South,West South Central,Texas,1993,137419
West,Mountain,Utah,1993,5599
Northeast,New England,Vermont,1993,658
South,South Atlantic,Virginia,1993,24160
West,Pacific,Washington,1993,27040
South,South Atlantic,West Virginia,1993,3793
Midwest,East North Central,Wisconsin,1993,13321
West,Mountain,Wyoming,1993,1345
South,East South Central,Alabama,1994,28844
West,Pacific,Alaska,1994,4644
West,Mountain,Arizona,1994,28653
South,West South Central,Arkansas,1994,14598
West,Pacific,California,1994,318395
West,Mountain,Colorado,1994,18632
Northeast,New England,Connecticut,1994,14916
South,South Atlantic,Delaware,1994,4549
South,South Atlantic,District of Columbia,1994,15177
South,South Atlantic,Florida,1994,160016
South,South Atlantic,Georgia,1994,47103
West,Pacific,Hawaii,1994,3091
West,Mountain,Idaho,1994,3238
Midwest,East North Central,Illinois,1994,112928
Midwest,East North Central,Indiana,1994,30205
Midwest,West North Central,Iowa,1994,8914
Midwest,West North Central,Kansas,1994,11314
South,East South Central,Kentucky,1994,16991
South,West South Central,Louisiana,1994,42369
Northeast,New England,Maine,1994,1611
South,South Atlantic,Maryland,1994,47457
Northeast,New England,Massachusetts,1994,42749
Midwest,East North Central,Michigan,1994,72751
Midwest,West North Central,Minnesota,1994,16397
South,East South Central,Mississippi,1994,13177
Midwest,West North Central,Missouri,1994,39240
West,Mountain,Montana,1994,1516
Midwest,West North Central,Nebraska,1994,6322
West,Mountain,Nevada,1994,14597
Northeast,New England,New Hampshire,1994,1328
Northeast,Middle Atlantic,New Jersey,1994,48544
West,Mountain,New Mexico,1994,14708
Northeast,Middle Atlantic,New York,1994,175433
South,South Atlantic,North Carolina,1994,46308
Midwest,West North Central,North Dakota,1994,522
Midwest,East North Central,Ohio,1994,53930
South,West South Central,Oklahoma,1994,21225
West,Pacific,Oregon,1994,16067
Northeast,Middle Atlantic,Pennsylvania,1994,51425
Northeast,New England,Rhode Island,1994,3744
South,South Atlantic,South Carolina,1994,37756
Midwest,West North Central,South Dakota,1994,1641
South,East South Central,Tennessee,1994,38705
South,West South Central,Texas,1994,129838
West,Mountain,Utah,1994,5810
Northeast,New England,Vermont,1994,562
South,South Atlantic,Virginia,1994,23437
West,Pacific,Washington,1994,27317
South,South Atlantic,West Virginia,1994,3931
Midwest,East North Central,Wisconsin,1994,13748
West,Mountain,Wyoming,1994,1297
South,East South Central,Alabama,1995,26894
West,Pacific,Alaska,1995,4656
West,Mountain,Arizona,1995,30095
South,West South Central,Arkansas,1995,13741
West,Pacific,California,1995,305154
West,Mountain,Colorado,1995,16494
Northeast,New England,Connecticut,1995,13293
South,South Atlantic,Delaware,1995,5198
South,South Atlantic,District of Columbia,1995,14744
South,South Atlantic,Florida,1995,151711
South,South Atlantic,Georgia,1995,47317
West,Pacific,Hawaii,1995,3509
West,Mountain,Idaho,1995,3745
Midwest,East North Central,Illinois,1995,117836
Midwest,East North Central,Indiana,1995,30451
Midwest,West North Central,Iowa,1995,10071
Midwest,West North Central,Kansas,1995,10792
South,East South Central,Kentucky,1995,14079
South,West South Central,Louisiana,1995,43741
Northeast,New England,Maine,1995,1631
South,South Atlantic,Maryland,1995,49757
Northeast,New England,Massachusetts,1995,41739
Midwest,East North Central,Michigan,1995,65680
Midwest,West North Central,Minnesota,1995,16416
South,East South Central,Mississippi,1995,13560
Midwest,West North Central,Missouri,1995,35339
West,Mountain,Montana,1995,1491
Midwest,West North Central,Nebraska,1995,6253
West,Mountain,Nevada,1995,14461
Northeast,New England,New Hampshire,1995,1314
Northeast,Middle Atlantic,New Jersey,1995,47652
West,Mountain,New Mexico,1995,13804
Northeast,Middle Atlantic,New York,1995,152683
South,South Atlantic,North Carolina,1995,46508
Midwest,West North Central,North Dakota,1995,556
Midwest,East North Central,Ohio,1995,53799
South,West South Central,Oklahoma,1995,21770
West,Pacific,Oregon,1995,16408
Northeast,Middle Atlantic,Pennsylvania,1995,51586
Northeast,New England,Rhode Island,1995,3643
South,South Atlantic,South Carolina,1995,36067
Midwest,West North Central,South Dakota,1995,1513
South,East South Central,Tennessee,1995,40549
South,West South Central,Texas,1995,124303
West,Mountain,Utah,1995,6415
Northeast,New England,Vermont,1995,692
South,South Atlantic,Virginia,1995,23921
West,Pacific,Washington,1995,26300
South,South Atlantic,West Virginia,1995,3842
Midwest,East North Central,Wisconsin,1995,14399
West,Mountain,Wyoming,1995,1220
South,East South Central,Alabama,1996,24159
West,Pacific,Alaska,1996,4417
West,Mountain,Arizona,1996,27963
South,West South Central,Arkansas,1996,13161
West,Pacific,California,1996,274996
West,Mountain,Colorado,1996,15463
Northeast,New England,Connecticut,1996,13490
South,South Atlantic,Delaware,1996,4845
South,South Atlantic,District of Columbia,1996,13411
South,South Atlantic,Florida,1996,151350
South,South Atlantic,Georgia,1996,46966
West,Pacific,Hawaii,1996,3322
West,Mountain,Idaho,1996,3177
Midwest,East North Central,Illinois,1996,105482
Midwest,East North Central,Indiana,1996,31366
Midwest,West North Central,Iowa,1996,7771
Midwest,West North Central,Kansas,1996,10642
South,East South Central,Kentucky,1996,12448
South,West South Central,Louisiana,1996,40426
Northeast,New England,Maine,1996,1553
South,South Atlantic,Maryland,1996,47230
Northeast,New England,Massachusetts,1996,39122
Midwest,East North Central,Michigan,1996,60951
Midwest,West North Central,Minnesota,1996,15782
South,East South Central,Mississippi,1996,13261
Midwest,West North Central,Missouri,1996,31669
West,Mountain,Montana,1996,1415
Midwest,West North Central,Nebraska,1996,7182
West,Mountain,Nevada,1996,13005
Northeast,New England,New Hampshire,1996,1373
Northeast,Middle Atlantic,New Jersey,1996,42459
West,Mountain,New Mexico,1996,14399
Northeast,Middle Atlantic,New York,1996,132206
South,South Atlantic,North Carolina,1996,43068
Midwest,West North Central,North Dakota,1996,541
Midwest,East North Central,Ohio,1996,47896
South,West South Central,Oklahoma,1996,19710
West,Pacific,Oregon,1996,14837
Northeast,Middle Atlantic,Pennsylvania,1996,57905
Northeast,New England,Rhode Island,1996,3437
South,South Atlantic,South Carolina,1996,36875
Midwest,West North Central,South Dakota,1996,1297
South,East South Central,Tennessee,1996,41175
South,West South Central,Texas,1996,123270
West,Mountain,Utah,1996,6638
Northeast,New England,Vermont,1996,714
South,South Atlantic,Virginia,1996,22782
West,Pacific,Washington,1996,23857
South,South Atlantic,West Virginia,1996,3836
Midwest,East North Central,Wisconsin,1996,13039
West,Mountain,Wyoming,1996,1201
South,East South Central,Alabama,1997,24379
West,Pacific,Alaska,1997,4270
West,Mountain,Arizona,1997,28411
South,West South Central,Arkansas,1997,13293
West,Pacific,California,1997,257582
West,Mountain,Colorado,1997,14139
Northeast,New England,Connecticut,1997,12781
South,South Atlantic,Delaware,1997,5753
South,South Atlantic,District of Columbia,1997,10708
South,South Atlantic,Florida,1997,149996
South,South Atlantic,Georgia,1997,45408
West,Pacific,Hawaii,1997,3299
West,Mountain,Idaho,1997,3107
Midwest,East North Central,Illinois,1997,102476
Midwest,East North Central,Indiana,1997,30179
Midwest,West North Central,Iowa,1997,8841
Midwest,West North Central,Kansas,1997,11151
South,East South Central,Kentucky,1997,12386
South,West South Central,Louisiana,1997,37248
Northeast,New England,Maine,1997,1500
South,South Atlantic,Maryland,1997,43127
Northeast,New England,Massachusetts,1997,39411
Midwest,East North Central,Michigan,1997,57663
Midwest,West North Central,Minnesota,1997,15827
South,East South Central,Mississippi,1997,12808
Midwest,West North Central,Missouri,1997,31192
West,Mountain,Montana,1997,1161
Midwest,West North Central,Nebraska,1997,7265
West,Mountain,Nevada,1997,13395
Northeast,New England,New Hampshire,1997,1328
Northeast,Middle Atlantic,New Jersey,1997,39673
West,Mountain,New Mexico,1997,14762
Northeast,Middle Atlantic,New York,1997,124890
South,South Atlantic,North Carolina,1997,45071
Midwest,West North Central,North Dakota,1997,559
Midwest,East North Central,Ohio,1997,48706
South,West South Central,Oklahoma,1997,18560
West,Pacific,Oregon,1997,14412
Northeast,Middle Atlantic,Pennsylvania,1997,53140
Northeast,New England,Rhode Island,1997,3292
South,South Atlantic,South Carolina,1997,37235
Midwest,West North Central,South Dakota,1997,1457
South,East South Central,Tennessee,1997,42389
South,West South Central,Texas,1997,117126
West,Mountain,Utah,1997,6878
Northeast,New England,Vermont,1997,705
South,South Atlantic,Virginia,1997,23249
West,Pacific,Washington,1997,24724
South,South Atlantic,West Virginia,1997,3971
Midwest,East North Central,Wisconsin,1997,13988
West,Mountain,Wyoming,1997,1225
South,East South Central,Alabama,1998,22286
West,Pacific,Alaska,1998,4015
West,Mountain,Arizona,1998,26984
South,West South Central,Arkansas,1998,12442
West,Pacific,California,1998,229883
West,Mountain,Colorado,1998,15008
Northeast,New England,Connecticut,1998,11993
South,South Atlantic,Delaware,1998,5672
South,South Atlantic,District of Columbia,1998,8988
South,South Atlantic,Florida,1998,140016
South,South Atlantic,Georgia,1998,43762
West,Pacific,Hawaii,1998,2946
West,Mountain,Idaho,1998,3468
Midwest,East North Central,Illinois,1998,97291
Midwest,East North Central,Indiana,1998,25423
Midwest,West North Central,Iowa,1998,8916
Midwest,West North Central,Kansas,1998,10972
South,East South Central,Kentucky,1998,12909
South,West South Central,Louisiana,1998,34057
Northeast,New England,Maine,1998,1566
South,South Atlantic,Maryland,1998,40903
Northeast,New England,Massachusetts,1998,38192
Midwest,East North Central,Michigan,1998,60947
Midwest,West North Central,Minnesota,1998,14656
South,East South Central,Mississippi,1998,11302
Midwest,West North Central,Missouri,1998,30222
West,Mountain,Montana,1998,1797
Midwest,West North Central,Nebraska,1998,7507
West,Mountain,Nevada,1998,11244
Northeast,New England,New Hampshire,1998,1270
Northeast,Middle Atlantic,New Jersey,1998,35720
West,Mountain,New Mexico,1998,16700
Northeast,Middle Atlantic,New York,1998,115915
South,South Atlantic,North Carolina,1998,43723
Midwest,West North Central,North Dakota,1998,570
Midwest,East North Central,Ohio,1998,40628
South,West South Central,Oklahoma,1998,18053
West,Pacific,Oregon,1998,13778
Northeast,Middle Atlantic,Pennsylvania,1998,50470
Northeast,New England,Rhode Island,1998,3084
South,South Atlantic,South Carolina,1998,34647
Midwest,West North Central,South Dakota,1998,1139
South,East South Central,Tennessee,1998,38832
South,West South Central,Texas,1998,111566
West,Mountain,Utah,1998,6599
Northeast,New England,Vermont,1998,628
South,South Atlantic,Virginia,1998,22115
West,Pacific,Washington,1998,24380
South,South Atlantic,West Virginia,1998,4503
Midwest,East North Central,Wisconsin,1998,13009
West,Mountain,Wyoming,1998,1191
South,East South Central,Alabama,1999,21421
West,Pacific,Alaska,1999,3908
West,Mountain,Arizona,1999,26334
South,West South Central,Arkansas,1999,10848
West,Pacific,California,1999,207879
West,Mountain,Colorado,1999,13811
Northeast,New England,Connecticut,1999,11342
South,South Atlantic,Delaware,1999,5534
South,South Atlantic,District of Columbia,1999,8448
South,South Atlantic,Florida,1999,129044
South,South Atlantic,Georgia,1999,41585
West,Pacific,Hawaii,1999,2785
West,Mountain,Idaho,1999,3066
Midwest,East North Central,Illinois,1999,83621
Midwest,East North Central,Indiana,1999,22261
Midwest,West North Central,Iowa,1999,8034
Midwest,West North Central,Kansas,1999,10159
South,East South Central,Kentucky,1999,12212
South,West South Central,Louisiana,1999,32033
Northeast,New England,Maine,1999,1404
South,South Atlantic,Maryland,1999,38447
Northeast,New England,Massachusetts,1999,34023
Midwest,East North Central,Michigan,1999,56709
Midwest,West North Central,Minnesota,1999,13085
South,East South Central,Mississippi,1999,9671
Midwest,West North Central,Missouri,1999,27353
West,Mountain,Montana,1999,2090
Midwest,West North Central,Nebraska,1999,7167
West,Mountain,Nevada,1999,10311
Northeast,New England,New Hampshire,1999,1159
Northeast,Middle Atlantic,New Jersey,1999,33540
West,Mountain,New Mexico,1999,14520
Northeast,Middle Atlantic,New York,1999,107147
South,South Atlantic,North Carolina,1999,41474
Midwest,West North Central,North Dakota,1999,424
Midwest,East North Central,Ohio,1999,35616
South,West South Central,Oklahoma,1999,17066
West,Pacific,Oregon,1999,12432
Northeast,Middle Atlantic,Pennsylvania,1999,50431
Northeast,New England,Rhode Island,1999,2840
South,South Atlantic,South Carolina,1999,32920
Midwest,West North Central,South Dakota,1999,1227
South,East South Central,Tennessee,1999,38111
South,West South Central,Texas,1999,112306
West,Mountain,Utah,1999,5869
Northeast,New England,Vermont,1999,676
South,South Atlantic,Virginia,1999,21626
West,Pacific,Washington,1999,21716
South,South Atlantic,West Virginia,1999,6336
Midwest,East North Central,Wisconsin,1999,12908
West,Mountain,Wyoming,1999,1115
South,East South Central,Alabama,2000,21620
West,Pacific,Alaska,2000,3554
West,Mountain,Arizona,2000,27281
South,West South Central,Arkansas,2000,11904
West,Pacific,California,2000,210531
West,Mountain,Colorado,2000,14367
Northeast,New England,Connecticut,2000,11058
South,South Atlantic,Delaware,2000,5363
South,South Atlantic,District of Columbia,2000,8626
South,South Atlantic,Florida,2000,129777
South,South Atlantic,Georgia,2000,41319
West,Pacific,Hawaii,2000,2954
West,Mountain,Idaho,2000,3267
Midwest,East North Central,Illinois,2000,81196
Midwest,East North Central,Indiana,2000,21230
Midwest,West North Central,Iowa,2000,7796
Midwest,West North Central,Kansas,2000,10470
South,East South Central,Kentucky,2000,11903
South,West South Central,Louisiana,2000,30440
Northeast,New England,Maine,2000,1397
South,South Atlantic,Maryland,2000,41663
Northeast,New England,Massachusetts,2000,30230
Midwest,East North Central,Michigan,2000,55159
Midwest,West North Central,Minnesota,2000,13813
South,East South Central,Mississippi,2000,10267
Midwest,West North Central,Missouri,2000,27419
West,Mountain,Montana,2000,2807
Midwest,West North Central,Nebraska,2000,5606
West,Mountain,Nevada,2000,10474
Northeast,New England,New Hampshire,2000,2167
Northeast,Middle Atlantic,New Jersey,2000,32298
West,Mountain,New Mexico,2000,13786
Northeast,Middle Atlantic,New York,2000,105111
South,South Atlantic,North Carolina,2000,40051
Midwest,West North Central,North Dakota,2000,523
Midwest,East North Central,Ohio,2000,37935
South,West South Central,Oklahoma,2000,17177
West,Pacific,Oregon,2000,12000
Northeast,Middle Atlantic,Pennsylvania,2000,51584
Northeast,New England,Rhode Island,2000,3121
South,South Atlantic,South Carolina,2000,33225
Midwest,West North Central,South Dakota,2000,1259
South,East South Central,Tennessee,2000,40233
South,West South Central,Texas,2000,113653
West,Mountain,Utah,2000,5711
Northeast,New England,Vermont,2000,691
South,South Atlantic,Virginia,2000,19943
West,Pacific,Washington,2000,21788
South,South Atlantic,West Virginia,2000,5723
Midwest,East North Central,Wisconsin,2000,12700
West,Mountain,Wyoming,2000,1316
South,East South Central,Alabama,2001,19582
West,Pacific,Alaska,2001,3735
West,Mountain,Arizona,2001,28675
South,West South Central,Arkansas,2001,12190
West,Pacific,California,2001,212855
West,Mountain,Colorado,2001,15492
Northeast,New England,Connecticut,2001,11492
South,South Atlantic,Delaware,2001,4868
South,South Atlantic,District of Columbia,2001,9931
South,South Atlantic,Florida,2001,130713
South,South Atlantic,Georgia,2001,41671
West,Pacific,Hawaii,2001,3117
West,Mountain,Idaho,2001,3211
Midwest,East North Central,Illinois,2001,79504
Midwest,East North Central,Indiana,2001,22734
Midwest,West North Central,Iowa,2001,7865
Midwest,West North Central,Kansas,2001,10909
South,East South Central,Kentucky,2001,10448
